Title,Distibutor,Max Theaters,Opening Weekend,Opening Theaters,Year,Weekend #,Multiplier,Box Office Mojo URL,RT Rating,Mojo Genre,Mojo MPAA,Mojo Budget,Director,Producer,Composer,Gross
Fast & Furious 6,Uni.,3771,97375245,3658,2013,21,2.45,http://www.boxofficemojo.com/movies/?id=fast6.htm,69,Action,PG-13,160,Justin Lin,Vin Diesel,Brian Tyler,238679850
Brave,BV,4164,66323594,4164,2012,25,3.58,http://www.boxofficemojo.com/movies/?id=bearandthebow.htm,78,Animation,PG,185,Mark Andrews,Pete Docter,Patrick Doyle,237283207
Oz The Great and Powerful,BV,3912,79110453,3912,2013,10,2.97,http://www.boxofficemojo.com/movies/?id=oz.htm,59,Adventure,PG,215,Sam Raimi,Palak Patel,Danny Elfman,234911825
X-Men: Days of Future Past,Fox,4001,90823660,3996,2014,21,2.58,http://www.boxofficemojo.com/movies/?id=xmen2014.htm,91,Action,PG-13,200,Bryan Singer,Lauren Schuler Donner,John Ottman,233921534
Fantastic Beasts and Where To Find Them,WB,4144,74403387,4144,2016,47,3.14,http://www.boxofficemojo.com/movies/?id=fantasticbeasts.htm,73,Fantasy,PG-13,180,David Yates,?,James Newton Howard,233718559
Doctor Strange,BV,3882,85058311,3882,2016,45,2.73,http://www.boxofficemojo.com/movies/?id=marvel716.htm,90,Action,PG-13,165,Scott Derrickson,Kevin Feige,Michael Giacchino,232629520
Star Trek Into Darkness,Par.,3907,70165559,3868,2013,20,3.26,http://www.boxofficemojo.com/movies/?id=startrek12.htm,86,Sci-Fi Adventure,PG-13,190,J.J. Abrams,J.J. Abrams,Michael Giacchino,228778661
The Martian,Fox,3854,54308575,3831,2015,40,4.21,http://www.boxofficemojo.com/movies/?id=scott2016.htm,92,Sci-Fi,PG-13,108,Ridley Scott,Mark Huffam,Harry Gregson,228433663
Hancock,Sony,3965,62603879,3965,2008,27,3.64,http://www.boxofficemojo.com/movies/?id=hancock.htm,41,Fantasy Drama,PG-13,150,Peter Berg,Ian Bryce,John Powell,227946274
The Bourne Ultimatum,Uni.,3701,69283690,3660,2007,31,3.28,http://www.boxofficemojo.com/movies/?id=bourneultimatum.htm,93,Action Thriller,PG-13,110,Paul Greengrass,Patrick Crowley,John Powell,227471070
WALL-E,BV,3992,63087526,3992,2008,26,3.55,http://www.boxofficemojo.com/movies/?id=wall-e.htm,96,Animation,G,180,Andrew Stanton,John Lasseter,Thomas Newman,223808164
Big Hero 6,BV,3773,56215889,3761,2014,45,3.96,http://www.boxofficemojo.com/movies/?id=disney2014.htm,89,Animation,PG,165,Don Hall,Roy Conli,Henry Jackman,222527828
National Treasure: Book of Secrets,BV,3832,44783772,3832,2007,51,4.91,http://www.boxofficemojo.com/movies/?id=nationaltreasure2.htm,35,Adventure,PG,?,Jon Turteltaub,Jerry Bruckheimer,Trevor Rabin,219964115
Alvin and the Chipmunks: The Squeakquel,Fox,3747,48875415,3700,2009,52,4.49,http://www.boxofficemojo.com/movies/?id=alvinandthechipmunksii.htm,21,Family Comedy,PG,75,Betty Thomas,Arnon Milchan,?,219614612
Ted,Uni.,3303,54415205,3239,2012,26,4.02,http://www.boxofficemojo.com/movies/?id=ted.htm,67,Comedy,R,50,Seth MacFarlane,Jason Clark,Walter Murphy,218815487
How to Train Your Dragon,P/DW,4060,43732319,4055,2010,13,4.98,http://www.boxofficemojo.com/movies/?id=howtotrainyourdragon.htm,98,Animation,PG,165,Dean DeBlois,Kristine Belson,John Powell,217581231
Alvin and the Chipmunks,Fox,3499,44307417,3475,2007,50,4.9,http://www.boxofficemojo.com/movies/?id=alvinandthechipmunks.htm,27,Family Comedy,PG,60,Tim Hill,Arnon Milchan,Christopher Lennertz,217326974
Madagascar 3: Europe's Most Wanted,P/DW,4263,60316738,4258,2012,23,3.59,http://www.boxofficemojo.com/movies/?id=madagascar3.htm,79,Animation,PG,145,Eric Darnell,Mireille Soria,Hans Zimmer,216391482
Kung Fu Panda,P/DW,4136,60239130,4114,2008,23,3.58,http://www.boxofficemojo.com/movies/?id=kungfupanda.htm,87,Animation,PG,130,?,?,John Powell,215434591
Dr. Seuss' The Lorax,Uni.,3769,70217070,3729,2012,9,3.05,http://www.boxofficemojo.com/movies/?id=lorax.htm,53,Animation,PG,70,Chris Renaud,Janet Healy,John Powell,214030500
300,WB,3280,70885301,3103,2007,10,2.97,http://www.boxofficemojo.com/movies/?id=300.htm,60,Period Action,R,65,Zack Snyder,Scott Mednick,Tyler Bates,210614939
Fast Five,Uni.,3793,86198765,3644,2011,17,2.43,http://www.boxofficemojo.com/movies/?id=fastfive.htm,77,Action,PG-13,125,Justin Lin,Vin Diesel,Brian Tyler,209837675
Mission: Impossible - Ghost Protocol,Par.,3555,12785204,425,2011,50,16.38,http://www.boxofficemojo.com/movies/?id=mi4.htm,94,Action,PG-13,145,Brad Bird,Jeffrey Chernov,Michael Giacchino,209397903
Sherlock Holmes,WB,3626,62304277,3626,2009,52,3.35,http://www.boxofficemojo.com/movies/?id=sherlockholmes.htm,70,Adventure,PG-13,90,Guy Ritchie,Susan Downey,Hans Zimmer,209028679
Dawn of the Planet of the Apes,Fox,3969,72611427,3967,2014,28,2.87,http://www.boxofficemojo.com/movies/?id=dawnoftheapes.htm,90,Sci-Fi Action,PG-13,170,Matt Reeves,Mark Bomback,Michael Giacchino,208545589
Ratatouille,BV,3940,47027395,3940,2007,26,4.39,http://www.boxofficemojo.com/movies/?id=ratatouille.htm,96,Animation,G,150,Brad Bird,Brad Lewis,Michael Giacchino,206445654
Thor: The Dark World,BV,3841,85737841,3841,2013,45,2.41,http://www.boxofficemojo.com/movies/?id=thor2.htm,66,Action,PG-13,170,Alan Taylor,Louis D,Brian Tyler,206362140
The Amazing Spider-Man 2,Sony,4324,91608337,4324,2014,18,2.21,http://www.boxofficemojo.com/movies/?id=amazingspiderman2.htm,52,Action,PG-13,?,Marc Webb,Avi Arad,Junkie XL,202853933
World War Z,Par.,3607,66411834,3607,2013,25,3.05,http://www.boxofficemojo.com/movies/?id=worldwarz.htm,67,Action Horror,PG-13,190,Marc Forster,Ian Bryce,?,202359711
Cinderella (2015),BV,3848,67877361,3845,2015,11,2.96,http://www.boxofficemojo.com/movies/?id=cinderella2015.htm,83,Fantasy,PG,95,Kenneth Branagh,Simon Kinberg,?,201151353
Tangled,BV,3603,48767052,3603,2010,48,4.12,http://www.boxofficemojo.com/movies/?id=rapunzel.htm,89,Animation,PG,260,Nathan Greno,Roy Conli,Alan Menken,200821936
Godzilla (2014),WB,3952,93188384,3952,2014,20,2.15,http://www.boxofficemojo.com/movies/?id=godzilla2012.htm,74,Sci-Fi Action,PG-13,160,Gareth Edwards,Jon Jashni,Alexandre Desplat,200676069
Spectre,Sony,3929,70403148,3929,2015,45,2.84,http://www.boxofficemojo.com/movies/?id=bond24.htm,65,Action,PG-13,245,Sam Mendes,Barbara Broccoli,Thomas Newman,200074609
Monsters Vs. Aliens,P/DW,4136,59321095,4104,2009,13,3.34,http://www.boxofficemojo.com/movies/?id=monstersvsaliens.htm,72,Animation,PG,175,Rob Letterman,Lisa Stewart,Henry Jackman,198351526
Ice Age: Dawn of the Dinosaurs,Fox,4102,41690382,4099,2009,27,4.72,http://www.boxofficemojo.com/movies/?id=iceage3.htm,45,Animation,PG,90,Carlos Saldanha,John C. Donkin,John Powell,196573705
Mission: Impossible - Rogue Nation,Par.,3988,55520089,3956,2015,31,3.51,http://www.boxofficemojo.com/movies/?id=mi5.htm,93,Action,PG-13,150,Christopher McQuarrie,J.J. Abrams,?,195042377
Twilight,Sum.,3649,69637740,3419,2008,47,2.77,http://www.boxofficemojo.com/movies/?id=twilight08.htm,48,Romance,PG-13,37,Catherine Hardwicke,Marty Bowen,Carter Burwell,192769854
22 Jump Street,Sony,3426,57071445,3306,2014,24,3.36,http://www.boxofficemojo.com/movies/?id=21jumpstreet2.htm,84,Action Comedy,R,50,Phil Lord,Reid Carolin,Mark Mothersbaugh,191719337
Cars 2,BV,4115,66135507,4115,2011,25,2.89,http://www.boxofficemojo.com/movies/?id=cars2.htm,39,Animation,G,200,John Lasseter,?,Michael Giacchino,191452396
Teenage Mutant Ninja Turtles (2014),Par.,3980,65575105,3845,2014,32,2.92,http://www.boxofficemojo.com/movies/?id=tmnt2013.htm,22,Action,PG-13,125,Jonathan Liebesman,Michael Bay,Brian Tyler,191204754
Wreck-It Ralph,BV,3752,49038712,3752,2012,44,3.86,http://www.boxofficemojo.com/movies/?id=rebootralph.htm,86,Animation,PG,165,Rich Moore,John Lasseter,Henry Jackman,189422889
Interstellar,Par.,3561,47510360,3561,2014,45,3.96,http://www.boxofficemojo.com/movies/?id=interstellar.htm,71,Sci-Fi Adventure,PG-13,165,Christopher Nolan,Christopher Nolan,Hans Zimmer,188020017
